Time,Attention,Emotion,Confidence,Blinks,Yawns,Head
15:59:19,80,Unknown,0,Forward,Eyes Closed,Mouth Closed
15:59:24,100,neutral,98.0,Forward,Eyes Open,Mouth Closed
15:59:29,95,neutral,87.0,Forward,Eyes Open,Mouth Closed
15:59:34,100,neutral,39.0,Forward,Eyes Open,Mouth Closed
15:59:39,80,sad,31.0,Left,Eyes Open,Mouth Closed
15:59:44,98,neutral,83.0,Forward,Eyes Open,Mouth Closed
15:59:49,100,neutral,76.0,Forward,Eyes Open,Mouth Closed
15:59:54,98,neutral,92.0,Forward,Eyes Open,Mouth Closed
15:59:59,92,neutral,73.0,Forward,Eyes Closed,Mouth Closed
16:00:04,100,sad,51.0,Forward,Eyes Open,Mouth Closed
16:00:09,100,neutral,82.0,Forward,Eyes Open,Mouth Closed
16:02:00,100,sad,40.0,Forward,Eyes Open,Mouth Closed
16:02:13,92,neutral,53.0,Forward,Eyes Open,Mouth Closed
16:02:24,100,Unknown,0,Forward,Eyes Open,Mouth Closed
16:02:28,95,neutral,57.0,Forward,Eyes Open,Mouth Closed
16:02:33,100,surprise,54.0,Forward,Eyes Open,Mouth Closed
16:02:38,95,neutral,79.0,Forward,Eyes Closed,Mouth Closed
16:02:43,95,neutral,93.0,Forward,Eyes Closed,Mouth Closed
16:02:48,100,happy,37.0,Forward,Eyes Open,Mouth Closed
23:12:19,80,sad,69.0,0,0,Forward,Eyes Closed,Mouth Closed
23:12:25,80,sad,67.0,0,0,Forward,Eyes Closed,Mouth Closed
23:12:39,80,neutral,92.0,0,0,Forward,Eyes Closed,Mouth Closed
23:12:44,80,neutral,84.0,0,0,Forward,Eyes Closed,Mouth Closed
23:12:49,88,neutral,90.0,1,0,Forward,Eyes Open,Mouth Closed
23:12:55,80,neutral,90.0,1,0,Forward,Eyes Closed,Mouth Closed
23:13:01,80,neutral,84.0,1,0,Forward,Eyes Closed,Mouth Closed
